Q2	Xb	Zh	Pt	Phi	SigmaB	SigmaOb	Tail1	Tail2	fact_no_ex	fact_ex	
1	1	1	1	1	1.31969e+07	1.46982e+07	-1.45834e+06	7.44901	1.00325	1.00325
1	1	1	1	2	1.32144e+07	1.47128e+07	-1.45551e+06	7.17432	1.00325	1.00325
1	1	1	1	3	1.34161e+07	1.4929e+07	-1.47617e+06	7.1406	1.00274	1.00274
1	1	1	1	4	1.39192e+07	1.54789e+07	-1.53337e+06	7.31981	1.00189	1.00189
1	1	1	1	5	1.45889e+07	1.62147e+07	-1.61717e+06	7.29325	1.00059	1.00059
1	1	1	1	6	1.50745e+07	1.67491e+07	-1.67958e+06	7.22034	0.999668	0.999668
1	1	1	1	7	1.50745e+07	1.67491e+07	-1.67958e+06	7.24472	0.999668	0.999668
1	1	1	1	8	1.45889e+07	1.62147e+07	-1.61717e+06	7.38324	1.00059	1.00059
1	1	1	1	9	1.39192e+07	1.54789e+07	-1.53337e+06	7.3947	1.00189	1.00189
1	1	1	1	10	1.34161e+07	1.4929e+07	-1.47617e+06	7.08756	1.00274	1.00274
1	1	1	1	11	1.32144e+07	1.47128e+07	-1.45551e+06	7.01271	1.00325	1.00325
1	1	1	1	12	1.31969e+07	1.46982e+07	-1.45834e+06	7.48004	1.00325	1.00325
1	1	1	2	1	1.31969e+07	1.46982e+07	-1.45834e+06	7.48004	1.00325	1.00325
1	1	1	2	2	1.31969e+07	1.46982e+07	-1.45834e+06	7.48004	1.00325	1.00325
1	1	1	2	3	1.31969e+07	1.46982e+07	-1.45834e+06	7.48004	1.00325	1.00325
1	1	1	2	4	1.31969e+07	1.46982e+07	-1.45834e+06	7.48004	1.00325	1.00325
1	1	1	2	5	1.31969e+07	1.46982e+07	-1.45834e+06	7.48004	1.00325	1.00325
1	1	1	2	6	1.31969e+07	1.46982e+07	-1.45834e+06	7.48004	1.00325	1.00325
1	1	1	2	7	1.31969e+07	1.46982e+07	-1.45834e+06	7.48004	1.00325	1.00325
1	1	1	2	8	1.31969e+07	1.46982e+07	-1.45834e+06	7.48004	1.00325	1.00325
1	1	1	2	9	1.31969e+07	1.46982e+07	-1.45834e+06	7.48004	1.00325	1.00325
1	1	1	2	10	1.31969e+07	1.46982e+07	-1.45834e+06	7.48004	1.00325	1.00325
1	1	1	2	11	1.31969e+07	1.46982e+07	-1.45834e+06	7.48004	1.00325	1.00325
1	1	1	2	12	1.31969e+07	1.46982e+07	-1.45834e+06	7.48004	1.00325	1.00325
1	1	1	3	1	1.31969e+07	1.46982e+07	-1.45834e+06	7.48004	1.00325	1.00325
1	1	1	3	2	1.31969e+07	1.46982e+07	-1.45834e+06	7.48004	1.00325	1.00325
1	1	1	3	3	1.31969e+07	1.46982e+07	-1.45834e+06	7.48004	1.00325	1.00325
1	1	1	3	4	1.31969e+07	1.46982e+07	-1.45834e+06	7.48004	1.00325	1.00325
1	1	1	3	5	1.31969e+07	1.46982e+07	-1.45834e+06	7.48004	1.00325	1.00325
1	1	1	3	6	1.31969e+07	1.46982e+07	-1.45834e+06	7.48004	1.00325	1.00325
